Date,Actual_Sales,Predicted_Sales,Error,Error_%
2015-06-01,5774,5814.0,-40.0,-0.69
2015-06-02,5450,5477.0,-27.0,-0.49
2015-06-03,5809,5251.0,558.0,9.61
2015-06-05,5384,5466.0,-82.0,-1.52
2015-06-06,4183,4751.0,-568.0,-13.59
2015-06-08,4071,4054.0,17.0,0.41
2015-06-09,4102,3763.0,339.0,8.28
2015-06-10,3591,3770.0,-179.0,-4.98
2015-06-11,3627,3588.0,39.0,1.07
2015-06-12,3695,4010.0,-315.0,-8.51
2015-06-13,4256,4294.0,-38.0,-0.9
2015-06-15,5518,5424.0,94.0,1.7
2015-06-16,4852,5090.0,-238.0,-4.92
2015-06-17,4000,4351.0,-351.0,-8.77
2015-06-18,4645,4573.0,72.0,1.56
2015-06-19,4202,4455.0,-253.0,-6.03
2015-06-20,4097,4132.0,-35.0,-0.86
2015-06-22,3846,3828.0,18.0,0.48
2015-06-23,3762,3379.0,383.0,10.18
2015-06-24,3346,3583.0,-237.0,-7.09
2015-06-25,3533,3327.0,206.0,5.83
2015-06-26,3317,3932.0,-615.0,-18.54
2015-06-27,4019,4366.0,-347.0,-8.64
2015-06-29,5197,5586.0,-389.0,-7.48
2015-06-30,5735,5546.0,189.0,3.3
2015-07-01,5223,5273.0,-50.0,-0.96
2015-07-02,5558,5189.0,369.0,6.64
2015-07-03,4665,5137.0,-472.0,-10.12
2015-07-04,4797,4565.0,232.0,4.84
2015-07-06,4359,4068.0,291.0,6.69
2015-07-07,3650,3856.0,-206.0,-5.64
2015-07-08,3797,3814.0,-17.0,-0.44
2015-07-09,3897,3585.0,312.0,8.01
2015-07-10,3808,3922.0,-114.0,-2.99
2015-07-11,3530,4302.0,-772.0,-21.88
2015-07-13,5054,5342.0,-288.0,-5.71
2015-07-14,5042,5136.0,-94.0,-1.87
2015-07-15,4767,5002.0,-235.0,-4.94
2015-07-16,4427,4249.0,178.0,4.02
2015-07-17,4852,4479.0,373.0,7.69
2015-07-18,4406,4055.0,351.0,7.97
2015-07-20,4395,3856.0,539.0,12.26
2015-07-21,3558,3867.0,-309.0,-8.68
2015-07-22,3464,3649.0,-185.0,-5.35
2015-07-23,3769,3576.0,193.0,5.12
2015-07-24,3706,4110.0,-404.0,-10.91
2015-07-25,4364,4035.0,329.0,7.54
2015-07-27,6102,5501.0,601.0,9.86
2015-07-28,5011,5467.0,-456.0,-9.09
2015-07-29,4782,5095.0,-313.0,-6.54
2015-07-30,5020,5206.0,-186.0,-3.7
2015-07-31,5263,5409.0,-146.0,-2.77
